,ID,site,most_recent_ndvi_date,lat,long
1,A000693,Mufulira,2021-04-12T00:00:00Z,-12.6258,28.1511
2,A000793,Mufulira,2021-04-12T00:00:00Z,-12.6137,28.1476
3,A000407,Mufulira,2021-04-12T00:00:00Z,-12.6136,28.1474
6,A000778,Kabwe,2021-04-12T00:00:00Z,-14.3949,28.4942
7,A000705,Kabwe,2021-04-12T00:00:00Z,-14.3946,28.4944
8,A000709,Kabwe,2021-04-12T00:00:00Z,-14.382,28.5067
12,A000301,Choma,2021-04-12T00:00:00Z,-16.7998,27.0696
13,A000784,Choma,2021-04-12T00:00:00Z,-16.8315,27.0624
14,A000721,Choma,2021-04-12T00:00:00Z,-16.8313,27.0624
18,A000302,Makulu,2021-04-12T00:00:00Z,-15.5493,28.2491
19,A000291,Makulu,2021-04-12T00:00:00Z,-15.5494,28.2496
20,A000694,Makulu,2021-04-12T00:00:00Z,-15.5496,28.2495
21,A000415,Makulu,2021-04-12T00:00:00Z,-15.5881,28.2858